amplitude,duration,energy,rms,rise_time,counts,label
0.00014766,0.0007176,230.8396684,7.24E-06,0.0001504,14,0
0.000216162,0.0012436,385.4917082,8.02E-06,0.0001699,28,0
0.000237473,0.0019319,941.647086,8.60E-06,0.0006239,84,0
0.000301408,0.0015494,563.1847337,8.41E-06,3.84E-05,43,0
0.000375999,0.0022747,1252.052526,9.72E-06,0.0002652,121,0
0.000333376,0.0015979,774.6215594,8.89E-06,1.25E-05,77,0
0.000235951,0.001307,393.580343,8.57E-06,7.90E-06,30,0
0.000187239,0.0002845,114.7965299,8.02E-06,0.0002618,6,0
0.000401878,0.002417,1661.856299,9.17E-06,0.0004232,146,0
0.000421667,0.0023566,1645.552969,8.88E-06,0.0001927,169,0
0.000130915,0.0003153,96.83374305,8.88E-06,3.81E-05,4,0
0.00014766,0.0002011,84.23909421,9.17E-06,2.16E-05,5,0
0.000325765,0.0011989,346.1974457,1.09E-05,1.58E-05,34,0
0.000718509,0.0020044,1116.829283,1.06E-05,8.00E-06,102,0
0.000464291,0.0023725,1652.902296,1.22E-05,0.0002255,148,0
0.000207028,0.0009627,308.018077,9.46E-06,0.0004232,23,0
0.000123303,0.0003238,88.85967496,1.07E-05,0.0002046,2,0
0.000162882,0.0002535,105.4327375,1.15E-05,0.0002359,6,0
0.000866168,0.0025013,1593.518161,1.15E-05,9.40E-06,153,0
0.000257263,0.0015959,476.5961869,1.15E-05,4.30E-06,52,0
0.00014766,0.0006181,126.3759283,1.29E-05,0.0001717,6,0
0.000167449,0.000761,194.615906,1.18E-05,2.92E-05,17,0
0.000165927,0.0002552,97.3088799,1.09E-05,0.00018,6,0
0.000246607,0.0018984,763.9753795,1.42E-05,0.0004583,60,0
0.000181149,0.0009652,286.3153717,1.30E-05,6.07E-05,15,0
0.000471902,0.0013016,762.168636,1.32E-05,2.51E-05,74,0
0.00035621,0.0022519,997.2401368,1.51E-05,1.06E-05,102,0
0.000277052,0.0012156,507.3336296,1.29E-05,5.50E-06,45,0
0.000278574,0.0015316,610.3691785,1.56E-05,0.0002291,55,0
0.000140048,0.0005516,121.8055864,1.25E-05,0.000157,6,0
0.002262085,0.0049067,37493.12123,1.29E-05,4.09E-05,579,0
0.002481291,0.0110959,60986.77246,1.56E-05,0.0002079,922,0
0.002001778,0.0055957,55249.71244,1.34E-05,0.0002471,626,0
0.001263479,0.0064074,22071.16046,1.25E-05,0.0004411,574,0
0.000246607,0.0021125,795.6325077,1.34E-05,0.0006874,67,0
0.000366866,0.0041006,1389.223497,1.29E-05,0.002532,128,0
0.00027553,0.0005557,306.1043674,1.41E-05,1.54E-05,27,0
0.000225295,0.0012029,544.8536833,1.45E-05,0.0002374,53,0
0.000140048,0.0005193,167.6830804,1.33E-05,4.30E-06,7,0
0.000406445,0.0025342,1329.524118,1.59E-05,0.0002182,113,0
0.000210072,0.0008445,297.5605244,1.26E-05,0.0002127,23,0
0.000240518,0.0004726,148.4747972,1.57E-05,6.10E-06,16,0
0.000296842,0.0010706,413.6056094,1.27E-05,5.60E-06,34,0
0.000270963,0.0003217,231.7631543,1.27E-05,1.33E-05,14,0
0.000394266,0.0024614,2029.248501,1.51E-05,0.0006452,142,0
0.000178105,0.001585,654.5989876,1.22E-05,0.0009484,65,0
0.000143093,0.0003036,103.7445465,1.27E-05,0.0002231,4,0
0.000237473,0.0019736,619.2896272,1.51E-05,0.0002328,46,0
0.000120259,0.0002231,84.7270225,1.22E-05,0.0001732,1,0
0.00024204,0.0008149,204.5846034,1.27E-05,7.20E-06,20,0
0.000232906,0.0011025,399.2534362,1.51E-05,0.0001477,32,0
0.000269441,0.0008139,222.9100923,1.38E-05,8.30E-06,15,0
0.000235951,0.0003081,116.4490348,1.33E-05,7.40E-06,11,0
0.000155271,0.0006491,185.4148799,1.42E-05,0.0004112,16,0
0.000639351,0.0030997,4194.18704,9.92E-06,1.96E-05,259,0
0.000889002,0.0046858,9010.309123,1.08E-05,0.0002075,406,0
0.000427756,0.0027104,1716.755647,8.79E-06,0.0004803,152,0
